location,continent,people_fully_vaccinated,people_fully_vaccinated_per_hundred
Nigeria,Africa,1780853,0.84
Niue,Oceania,1150,71.25
North Macedonia,Europe,714135,34.29
Northern Cyprus,Asia,142493,37.28
Norway,Europe,3614430,66.13
Oman,Asia,1826224,34.96
Pakistan,Asia,25493964,11.32
Palau,Oceania,,
Palestine,Asia,654315,12.53
Panama,North America,2211232,50.47
Papua New Guinea,Oceania,40291,0.44
Paraguay,South America,1866306,25.85
Peru,South America,9993674,29.96
Philippines,Asia,20307122,18.29
Pitcairn Islands,Oceania,47,100
Poland,Europe,19374121,51.26
Portugal,Europe,8630748,84.88
Qatar,Asia,2218292,75.7
Romania,Europe,5326689,27.85
Russia,Europe,41706138,28.58
Rwanda,Africa,1440597,10.85
Saint Helena,Africa,3531,57.93
Saint Kitts and Nevis,North America,21920,40.94
Saint Lucia,North America,30955,16.79
Saint Vincent and the Grenadines,North America,13093,11.77
Samoa,Oceania,50268,25.12
San Marino,Europe,24422,71.81
Sao Tome and Principe,Africa,18187,8.14
Saudi Arabia,Asia,18373524,51.99
Senegal,Africa,564998,3.29
Serbia,Europe,2884386,42.39
Seychelles,Africa,71091,71.87
Sierra Leone,Africa,40045,0.49
Singapore,Asia,4514966,76.57
Sint Maarten,North America,23487,54.09
Slovakia,Europe,2246372,41.14
Slovenia,Europe,988856,47.57
Solomon Is.,Oceania,23171,3.29
Somalia,Africa,181599,1.11
South Africa,Africa,8391620,13.98
South Korea,Asia,23237917,45.29
S. Sudan,Africa,28448,0.25
Spain,Europe,36335711,77.73
Sri Lanka,Asia,11593990,53.93
Sudan,Africa,581846,1.3
Suriname,South America,167339,28.28
Sweden,Europe,6481560,63.79
Switzerland,Europe,4726409,54.23
Syria,Asia,248862,1.36
Taiwan,Asia,2151885,9.02
Tajikistan,Asia,1565281,16.05
Tanzania,Africa,350000,0.57
Thailand,Asia,15899158,22.73
Timor-Leste,Asia,251323,18.7
Togo,Africa,387781,4.57
Tokelau,Oceania,,
Tonga,Oceania,27477,25.74
Trinidad and Tobago,North America,478787,34.12
Tunisia,Africa,3418333,28.64
Turkey,Asia,43560247,51.22
Turkmenistan,Asia,9753,0.16
Turks and Caicos Islands,North America,24928,63.55
Tuvalu,Oceania,4652,39.01
Uganda,Africa,415486,0.88
Ukraine,Europe,5458913,12.56
United Arab Emirates,Asia,8169550,81.77
United Kingdom,Europe,44739473,65.59
United States of America,North America,183670870,54.61
Uruguay,South America,2562682,73.53
Uzbekistan,Asia,3700000,10.9
Vanuatu,Oceania,14344,4.56
Vatican,Europe,,
Venezuela,South America,5250000,18.29
Vietnam,Asia,7946283,8.09
Wallis and Futuna,Oceania,5016,45.21
Yemen,Asia,14909,0.05
Zambia,Africa,382288,2.02
Zimbabwe,Africa,2198252,14.57
